,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up
000400,0.014159622602164745,0.08914119750261307,0.940701425075531,0.8563055396080017,0.04513894021511078,0.05455327779054642,0.10330082010477781,0.0996922180056572
000401,0.26879674196243286,0.04891996085643768,0.6419865489006042,0.9386265873908997,0.08921674638986588,0.01245349645614624,0.31771670281887054,0.10167024284601212
000402,0.02704821340739727,0.1585785150527954,0.5929798483848572,0.5250881910324097,0.37997204065322876,0.3163333237171173,0.18562672846019268,0.6963053643703461
000404,0.024827132001519203,0.019775299355387688,0.6697092652320862,0.7548676133155823,0.30546364188194275,0.2253570556640625,0.04460243135690689,0.5308206975460052
000407,0.08592402935028076,0.014890622347593307,0.877367377281189,0.9741901159286499,0.036708611994981766,0.01091927383095026,0.10081465169787407,0.047627885825932026
000408,0.40833261609077454,0.5296809673309326,0.3219934403896332,0.3516997694969177,0.2696739137172699,0.11861925572156906,0.9380135834217072,0.38829316943883896
000409,0.03235388919711113,0.09704011678695679,0.8840174674987793,0.7856135368347168,0.08362863212823868,0.11734628677368164,0.12939400598406792,0.20097491890192032
000410,0.24575494229793549,0.049097850918769836,0.6756067872047424,0.7949270009994507,0.07863830775022507,0.1559751182794571,0.2948527932167053,0.23461342602968216
000411,0.031243499368429184,0.04350567236542702,0.9163062572479248,0.8336229920387268,0.05245019868016243,0.12287136167287827,0.0747491717338562,0.1753215603530407
000413,0.17050418257713318,0.15424005687236786,0.7652663588523865,0.571796715259552,0.06422948837280273,0.2739632725715637,0.32474423944950104,0.33819276094436646
000415,0.0019730038475245237,0.0024086476769298315,0.981560230255127,0.9570086002349854,0.016466721892356873,0.04058279097080231,0.004381651524454355,0.05704951286315918
000416,0.049612682312726974,0.11263225972652435,0.9156687259674072,0.8121219873428345,0.03471860662102699,0.07524574548006058,0.16224494203925133,0.10996435210108757
000417,0.14064612984657288,0.04459915682673454,0.7629079222679138,0.8902919888496399,0.09644599258899689,0.06510888040065765,0.18524528667330742,0.16155487298965454
000418,0.020436415448784828,0.022331546992063522,0.9098365306854248,0.8392117023468018,0.06972707062959671,0.138456791639328,0.04276796244084835,0.2081838622689247
000419,0.004172810353338718,0.003601344767957926,0.9642046093940735,0.9594322443008423,0.03162252902984619,0.03696630895137787,0.007774155121296644,0.06858883798122406
000420,0.024702299386262894,0.015413478948175907,0.8359617590904236,0.9666578769683838,0.13933587074279785,0.01792869158089161,0.0401157783344388,0.15726456232368946
000421,0.006297033280134201,0.006637461483478546,0.9746802449226379,0.9606725573539734,0.019022610038518906,0.03269002214074135,0.012934494763612747,0.051712632179260254
000422,0.07846473157405853,0.011485021561384201,0.8469069004058838,0.9475916624069214,0.07462833821773529,0.0409233421087265,0.08994975313544273,0.11555168032646179
